2017-07-28 12:35:26.363 -0600	START		Running Index.script
2017-07-28 12:35:26.440 -0600	Log		July 28 2017	2	on_index	Index.script
2017-07-28 12:35:46.788 -0600	click	(TEXT:"7")	at (630, 465)	30	on_math	Calculator.script
2017-07-28 12:35:46.790 -0600	Log		- was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:47.968 -0600	click	Operators/Minus	at (911, 521)	22	on_math	Calculator.script
2017-07-28 12:35:47.970 -0600	Log		8 was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:49.210 -0600	click	(TEXT:"8")	at (724, 465)	30	on_math	Calculator.script
2017-07-28 12:35:49.213 -0600	Log		+ was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:50.393 -0600	click	Operators/Add	at (911, 577)	20	on_math	Calculator.script
2017-07-28 12:35:50.394 -0600	Log		9 was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:51.633 -0600	click	(TEXT:"9")	at (818, 465)	30	on_math	Calculator.script
2017-07-28 12:35:51.635 -0600	Log		- was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:52.797 -0600	click	Operators/Minus	at (911, 521)	22	on_math	Calculator.script
2017-07-28 12:35:52.798 -0600	Log		0 was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:54.043 -0600	click	(TEXT:"0")	at (724, 634)	30	on_math	Calculator.script
2017-07-28 12:35:54.045 -0600	Log		= was Clicked	18	on_math	Calculator.script
2017-07-28 12:35:55.224 -0600	click	Operators/Equals Sign	at (912, 634)	28	on_math	Calculator.script
2017-07-28 12:35:56.303 -0600	moveto	Calculator/Calculator Icon	at (617, 121)	34	on_math	Calculator.script
2017-07-28 12:35:57.364 -0600	imagelocation	Calculator/Calculator Icon	at (617, 121)	2	on_answer	Calculator.script
2017-07-28 12:35:57.743 -0600	imagelocation	Operators/Equals Sign	at (912, 634)	3	on_answer	Calculator.script
2017-07-28 12:35:57.780 -0600	readtext		(582,201,952,294)
2017-07-28 12:35:57.780 -0600	Log		86.71428571428571	6	on_answer	Calculator.script
2017-07-28 12:36:03.126 -0600	capturescreen	Results.png	(582,201,952,294)	9	on_answer	Calculator.script
2017-07-28 12:36:03.510 -0600	imagelocation	Calculator/Calculator Icon	at (617, 121)	2	on_close	Calculator.script
2017-07-28 12:36:03.522 -0600	moveto		at (617, 121)	3	on_close	Calculator.script
2017-07-28 12:36:05.062 -0600	click	Calculator/Close Icon	at (939, 118)	4	on_close	Calculator.script
2017-07-28 12:36:07.488 -0600	EndTestCase		(Duration:"41.124189", Errors:"0", Exceptions:"0", StartTime:"2017-07-28 12:35:26 -0600", Successes:"1", TestCase:"Index.script", Warnings:"0")
2017-07-28 12:36:07.503 -0600	SUCCESS		Execution Time 0:00:41 Index.script
